pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
org.zoolu.tools;org.zoolu.tools.Archive;5;1;1;0;15;4;0;4
org.zoolu.net;org.zoolu.net.TcpConnectionListener;2;1;1;1;2;1;1;2
org.zoolu.net;org.zoolu.net.UdpSocket;12;1;1;2;28;0;1;11
org.zoolu.sip.header;org.zoolu.sip.header.AuthenticationInfoHeader;8;3;1;4;28;22;1;8
org.zoolu.net;org.zoolu.net.TcpSocket;13;1;1;2;38;0;1;11
org.zoolu.tools;org.zoolu.tools.DateFormat;6;1;1;1;24;3;1;5
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.Call$State;7;2;1;0;10;13;0;5
org.zoolu.sip.header;org.zoolu.sip.header.RequestLine;7;1;1;1;16;3;1;7
com.jstun.core.util;com.jstun.core.util.UtilityException;1;3;1;0;2;0;0;0
org.zoolu.sip.header;org.zoolu.sip.header.AuthenticationHeader;54;2;1;3;83;1381;1;52
org.zoolu.sip.header;org.zoolu.sip.header.SupportedHeader;2;3;1;2;4;1;1;2
org.sipdroid.sipua;org.sipdroid.sipua.Constants$TransportConstants;1;1;1;1;2;0;1;1
org.zoolu.tools;org.zoolu.tools.SimpleDigest;10;2;1;1;14;39;1;9
org.zoolu.sip.dialog;org.zoolu.sip.dialog.ExtendedInviteDialogListener;5;1;1;4;5;10;1;5
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.SipRingtonePreference;4;3;1;10;17;0;1;1
org.zoolu.sip.call;org.zoolu.sip.call.CallListenerAdapter;20;1;1;11;38;190;1;19
org.zoolu.sip.header;org.zoolu.sip.header.ReferredByHeader;3;4;1;4;6;3;1;3
org.zoolu.sip.header;org.zoolu.sip.header.OptionHeader;4;2;1;1;6;4;1;4
com.jstun.core.util;com.jstun.core.util.Utility;7;1;1;1;14;21;1;7
org.sipdroid.sipua;org.sipdroid.sipua.RegisterAgent$2;2;1;1;2;5;0;1;1
org.zoolu.tools;org.zoolu.tools.Parser;69;1;1;0;89;538;0;68
org.sipdroid.sipua;org.sipdroid.sipua.RegisterAgent$1;2;1;1;1;5;0;1;1
org.zoolu.sip.header;org.zoolu.sip.header.ContentTypeHeader;4;3;1;3;10;4;1;4
org.sipdroid.codecs;org.sipdroid.codecs.Speex;7;2;1;2;12;21;1;5
org.zoolu.tools;org.zoolu.tools.HashSet;7;1;1;1;15;0;1;7
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.SIPUri;4;5;1;2;5;6;1;2
org.sipdroid.media;org.sipdroid.media.RtpStreamSenderNew_SDK16;2;1;1;1;3;1;1;2
org.zoolu.sip.header;org.zoolu.sip.header.ParametricHeader;10;2;1;3;37;45;1;7
org.sipdroid.media;org.sipdroid.media.JAudioLauncher;12;1;1;13;39;8;1;8
org.zoolu.sip.message;org.zoolu.sip.message.BaseMessageOtp;42;2;1;10;85;373;1;36
com.jstun.core.header;com.jstun.core.header.MessageHeaderInterface$MessageHeaderType;4;2;1;0;7;4;0;2
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.Call;9;1;1;2;13;28;1;9
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.LoopAlarm;2;2;1;5;5;1;1;2
org.zoolu.net;org.zoolu.net.UdpProviderListener;2;1;1;2;2;1;1;2
com.jstun.core.attribute;com.jstun.core.attribute.MessageAttributeInterface$MessageAttributeType;4;2;1;0;7;4;0;2
org.zoolu.sip.call;org.zoolu.sip.call.SdpTools;3;1;1;5;33;3;1;3
com.jstun.core.header;com.jstun.core.header.MessageHeader;16;1;1;8;40;42;1;15
com.jstun.core.header;com.jstun.core.header.MessageHeaderException;1;3;1;0;2;0;0;1
org.zoolu.sdp;org.zoolu.sdp.SessionDescriptor;32;1;1;11;93;256;1;31
com.jstun.demo;com.jstun.demo.DiscoveryTestDemo;2;1;1;2;15;0;1;2
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.Connection;16;1;1;15;40;110;1;16
org.zoolu.sip.message;org.zoolu.sip.message.MessageFactory;8;2;1;10;27;28;1;8
com.jstun.core.attribute;com.jstun.core.attribute.UnknownMessageAttributeException;2;5;1;2;3;0;1;2
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Sipdroid$CallsAdapter;5;3;1;7;6;10;1;5
org.zoolu.sip.header;org.zoolu.sip.header.ListHeader;5;2;1;2;24;4;1;5
com.jstun.core.attribute;com.jstun.core.attribute.MappedResponseChangedSourceAddressReflectedFrom;9;2;1;7;29;2;1;8
org.sipdroid.codecs;org.sipdroid.codecs.SILK24;7;2;1;2;12;21;1;5
org.zoolu.sip.provider;org.zoolu.sip.provider.ConnectedTransport;4;1;1;3;4;6;1;4
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.PhoneUtils;6;1;1;11;24;13;1;1
org.sipdroid.net;org.sipdroid.net.KeepAliveSip;3;1;1;3;12;0;1;3
