pkg;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.googlecode.android.wifi.tether.data;10.0;1.0;3.0;3.0;14.0;0.0;1.0;10.0
com.googlecode.android.wifi.tether.system;3.5;1.0;14.0;1.0;22.0;3.0;1.0;3.0
com.googlecode.android.wifi.tether;2.0;1.0;79.0;5.0;8.0;0.0;1.0;1.0
com.googlecode.android.wifi.tether.ui;11.0;3.0;1.0;10.0;42.0;7.0;1.0;8.0
