pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.google.zxing.client.android.wifi;com.google.zxing.client.android.wifi.WifiConfigManager;13;2;1;6;51;68;1;1
com.google.zxing.client.android;com.google.zxing.client.android.R$menu;1;1;1;0;2;0;0;1
com.google.zxing.client.android;com.google.zxing.client.android.CaptureActivityHandler$State;4;2;1;0;7;4;0;2
com.google.zxing.client.android;com.google.zxing.client.android.CaptureActivityHandler;5;2;1;22;43;0;1;2
com.google.zxing.client.android;com.google.zxing.client.android.DecodeHintManager;5;1;1;5;42;4;1;0
com.google.zxing.client.android;com.google.zxing.client.android.R;1;1;1;0;2;0;0;1
com.google.zxing.client.android;com.google.zxing.client.android.HelpActivity;4;5;1;7;19;2;1;2
com.google.zxing.client.android.book;com.google.zxing.client.android.book.SearchBookContentsActivity$2;2;1;1;4;5;0;1;1
com.google.zxing.client.android.book;com.google.zxing.client.android.book.SearchBookContentsActivity$1;2;1;1;3;4;0;1;1
com.google.zxing.client.android.camera;com.google.zxing.client.android.camera.AutoFocusManager;7;1;1;10;28;0;1;1
com.google.zxing.client.android.result;com.google.zxing.client.android.result.ISBNResultHandler;6;2;1;5;15;9;1;5
com.google.zxing.client.android;com.google.zxing.client.android.R$drawable;1;1;1;0;2;0;0;1
com.google.zxing.client.android;com.google.zxing.client.android.DecodeFormatManager;5;1;1;3;28;2;1;0
com.google.zxing.client.android.encode;com.google.zxing.client.android.encode.VCardFieldFormatter;5;1;1;1;23;6;1;1
com.google.zxing.client.android.result;com.google.zxing.client.android.result.ProductResultHandler;7;2;1;6;19;15;1;5
com.google.zxing.client.android.encode;com.google.zxing.client.android.encode.MECARDContactEncoder$MECARDTelDisplayFormatter;4;1;1;2;10;4;1;1
com.google.zxing.client.android;com.google.zxing.client.android.Contents;2;1;1;0;3;1;0;0
com.google.zxing.client.android;com.google.zxing.client.android.DecodeHandler;5;2;1;18;39;4;1;1
com.google.zxing.client.android;com.google.zxing.client.android.ViewfinderResultPointCallback;2;1;1;3;4;0;1;1
com.google.zxing.client.android.encode;com.google.zxing.client.android.encode.ContactEncoder;5;1;1;1;17;10;1;0
com.google.zxing.client.android.result;com.google.zxing.client.android.result.GeoResultHandler;6;2;1;4;13;9;1;5
com.google.zxing.client.android.result;com.google.zxing.client.android.result.WifiResultHandler$1;2;1;1;4;6;0;1;1
com.google.zxing.client.android.result;com.google.zxing.client.android.result.SMSResultHandler;7;2;1;5;19;15;1;6
com.google.zxing.client.android;com.google.zxing.client.android.BuildConfig;1;1;1;0;2;0;0;1
com.google.zxing.client.android;com.google.zxing.client.android.PreferencesFragment$CustomSearchURLValidator;4;1;1;7;16;4;1;1
com.google.zxing.client.android;com.google.zxing.client.android.R$layout;1;1;1;0;2;0;0;1
com.google.zxing.client.android.clipboard;com.google.zxing.client.android.clipboard.ClipboardInterface;6;1;1;5;16;13;1;3
com.google.zxing.client.android;com.google.zxing.client.android.R$id;1;1;1;0;2;0;0;1
com.google.zxing.client.android;com.google.zxing.client.android.ScanFromWebPageManager;5;1;1;5;18;2;1;0
com.google.zxing.client.android.result.supplement;com.google.zxing.client.android.result.supplement.BookResultInfoRetriever;2;3;1;11;31;0;1;0
com.google.zxing.client.android.share;com.google.zxing.client.android.share.BookmarkPickerActivity;5;6;1;13;24;2;1;1
com.google.zxing.client.android;com.google.zxing.client.android.R$raw;1;1;1;0;2;0;0;1
com.google.zxing.client.android;com.google.zxing.client.android.HttpHelper;11;1;1;2;50;51;1;3
com.google.zxing.client.android.history;com.google.zxing.client.android.history.DBHelper;3;2;1;4;5;3;1;2
com.google.zxing.client.android;com.google.zxing.client.android.R$dimen;1;1;1;0;2;0;0;1
com.google.zxing.client.android;com.google.zxing.client.android.Intents$Scan;1;1;1;0;2;0;0;0
com.google.zxing.client.android;com.google.zxing.client.android.R$xml;1;1;1;0;2;0;0;1
com.google.zxing.client.android.result;com.google.zxing.client.android.result.EmailAddressResultHandler;6;2;1;4;15;9;1;5
com.google.zxing.client.android.book;com.google.zxing.client.android.book.SearchBookContentsListItem;4;4;1;9;21;4;1;2
com.google.zxing.client.android.share;com.google.zxing.client.android.share.LoadPackagesAsyncTask;7;2;1;9;22;13;1;0
com.google.zxing.client.android.result;com.google.zxing.client.android.result.WifiResultHandler;7;2;1;10;25;17;1;6
