pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageViewFragment$MessageViewFragmentListener;10;1;1;3;11;45;1;9
com.fsck.k9.activity;com.fsck.k9.activity.MessageCompose$CaseInsensitiveParamWrapper;2;1;1;1;3;1;1;2
com.fsck.k9.view;com.fsck.k9.view.SingleMessageView$SavedState;5;3;1;5;11;8;1;1
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageViewFragment$Listener;9;2;1;5;10;36;1;8
com.fsck.k9.crypto;com.fsck.k9.crypto.CryptoHelper;4;1;1;4;10;2;1;3
com.fsck.k9.activity;com.fsck.k9.activity.K9PreferenceActivity;4;7;1;9;18;6;1;2
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.AccountSetupBasics$Provider;1;1;1;0;2;0;0;0
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapResponseParser$ImapResponse;5;5;1;3;16;8;1;3
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapFolder;53;2;1;39;210;860;1;32
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$AccountsImportedDialog;3;2;1;3;4;3;1;0
com.fsck.k9.activity.misc;com.fsck.k9.activity.misc.SwipeGestureDetector;3;2;1;6;14;0;1;3
com.fsck.k9.mail;com.fsck.k9.mail.CompositeBody;1;1;1;2;1;0;1;1
com.fsck.k9.helper;com.fsck.k9.helper.FileBrowserHelper;6;1;1;15;34;9;1;3
com.fsck.k9.activity;com.fsck.k9.activity.UpgradeDatabases$UpgradeDatabaseBroadcastReceiver;2;2;1;4;3;1;1;1
com.fsck.k9.mail.store;com.fsck.k9.mail.store.WebDavStore$WebDavHandler;7;2;1;2;17;0;1;7
com.fsck.k9.preferences;com.fsck.k9.preferences.Settings$ColorSetting;4;2;1;2;13;6;1;4
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapPushState;3;1;1;1;14;1;1;1
com.fsck.k9.security;com.fsck.k9.security.LocalKeyStore$LocalKeyStoreHolder;2;1;1;1;4;1;1;0
com.fsck.k9.activity;com.fsck.k9.activity.UpgradeDatabases;9;6;1;9;10;36;1;5
com.fsck.k9.preferences;com.fsck.k9.preferences.Editor;17;1;1;6;47;62;1;12
com.fsck.k9;com.fsck.k9.R$id;1;1;1;0;2;0;0;1
com.fsck.k9.preferences;com.fsck.k9.preferences.GlobalSettings$SubThemeSetting;4;3;1;3;14;6;1;4
com.fsck.k9.mail;com.fsck.k9.mail.Message;51;1;1;14;74;1207;1;49
com.fsck.k9.mail.store;com.fsck.k9.mail.store.Pop3Store$Pop3Folder;44;2;1;27;160;754;1;26
com.fsck.k9;com.fsck.k9.R$string;1;1;1;0;2;0;0;1
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.AccountSetupBasics;28;6;1;41;126;270;1;12
com.fsck.k9.mail.transport;com.fsck.k9.mail.transport.SmtpTransport$NegativeSmtpReplyException;3;4;1;1;8;0;1;3
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$SimpleDialog;6;1;1;4;7;15;1;3
com.fsck.k9;com.fsck.k9.K9$SplitViewMode;4;2;1;0;7;4;0;2
com.fsck.k9.activity;com.fsck.k9.activity.ManageIdentities$1;2;1;1;4;4;0;1;1
com.fsck.k9.controller;com.fsck.k9.controller.MessageRetrievalListener;3;1;1;1;3;3;1;3
com.fsck.k9.service;com.fsck.k9.service.MailService$2;2;1;1;1;4;0;1;1
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.AccountSetupIncoming;27;6;1;45;139;239;1;8
com.fsck.k9.service;com.fsck.k9.service.MailService$1;2;1;1;1;5;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.K9ListActivity;7;6;1;10;23;15;1;7
com.fsck.k9.helper;com.fsck.k9.helper.MergeCursorWithUniqueId;7;2;1;2;20;13;1;5
com.fsck.k9.activity;com.fsck.k9.activity.MessageCompose$IdentityAdapter$AccountHolder;1;1;1;2;2;0;1;0
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalMessage;43;3;1;22;98;643;1;25
com.fsck.k9.controller;com.fsck.k9.controller.MessagingControllerPushReceiver$1;3;2;1;3;5;0;1;2
com.fsck.k9.view;com.fsck.k9.view.FoldableLinearLayout$SavedState$1;5;1;1;3;5;10;1;4
com.fsck.k9;com.fsck.k9.R$plurals;1;1;1;0;2;0;0;1
com.fsck.k9.helper;com.fsck.k9.helper.Contacts;16;1;1;14;62;72;1;13
com.fsck.k9.mail.filter;com.fsck.k9.mail.filter.EOLConvertingOutputStream;3;3;1;0;6;0;0;3
com.fsck.k9.helper;com.fsck.k9.helper.ClipboardManager;4;1;1;3;9;2;1;2
com.fsck.k9.view;com.fsck.k9.view.FoldableLinearLayout;14;4;1;21;52;0;1;4
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.AccountSetupComposition$1;2;1;1;7;13;0;1;1
com.fsck.k9.mail;com.fsck.k9.mail.Multipart;12;1;1;7;27;8;1;12
com.fsck.k9.mail;com.fsck.k9.mail.Folder$FolderType;4;2;1;0;7;4;0;2
com.fsck.k9.preferences;com.fsck.k9.preferences.Settings$V;1;1;1;1;2;0;1;1
com.fsck.k9.mail;com.fsck.k9.mail.Body;3;1;1;2;3;3;1;3
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$UnreadQueryHandler;4;1;1;12;24;4;1;2
com.fsck.k9.mail;com.fsck.k9.mail.Pusher;6;1;1;0;6;15;0;6
com.fsck.k9.mail.store;com.fsck.k9.mail.store.WebDavStore$HttpGeneric;5;0;1;4;23;0;1;5
com.fsck.k9.activity;com.fsck.k9.activity.Accounts;48;7;1;27;49;1128;1;20
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$SubjectExtractor;3;1;1;3;5;3;1;3
com.fsck.k9.search;com.fsck.k9.search.SearchSpecification$SearchCondition;10;1;1;6;26;15;1;7
com.fsck.k9.mail.store;com.fsck.k9.mail.store.StorageManager$InternalStorageProvider;9;1;1;2;17;34;1;9
com.fsck.k9;com.fsck.k9.AccountStats;1;1;1;0;2;0;0;1
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.MimeMultipart;10;2;1;4;36;21;1;10
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LockableDatabase$DbCallback;1;1;1;3;1;0;1;1
com.fsck.k9;com.fsck.k9.Account$ShowPictures;1;2;1;0;2;0;0;0
com.fsck.k9.preferences;com.fsck.k9.preferences.IdentitySettings$OptionalEmailAddressSetting;5;2;1;3;11;8;1;5
com.fsck.k9;com.fsck.k9.Account$QuoteStyle;1;2;1;0;2;0;0;0
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$AccountsAdapter;4;3;1;6;5;6;1;2
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$SenderAddressExtractor;3;1;1;2;4;3;1;3
com.fsck.k9.mail;com.fsck.k9.mail.AuthType$1;2;3;1;2;4;1;1;1
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.BinaryTempFileMessageBody;4;2;1;5;13;4;1;4
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.BinaryTempFileBody$BinaryTempFileBodyInputStream;3;3;1;1;7;1;1;3
com.fsck.k9.service;com.fsck.k9.service.MailService$4;2;1;1;1;5;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$ExportAsyncTask;4;3;1;2;5;6;1;0
com.fsck.k9.service;com.fsck.k9.service.MailService$3;2;1;1;1;4;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.ChooseIdentity$1;2;1;1;9;14;0;1;1
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.SpinnerOption;3;1;1;1;8;0;1;3
com.fsck.k9.mail.filter;com.fsck.k9.mail.filter.Base64OutputStream;8;3;1;1;19;2;1;7
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.MimeHeader$Field;2;1;1;0;7;0;0;2
com.fsck.k9;com.fsck.k9.K9$1;2;1;1;4;8;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.K9Activity;4;5;1;6;10;0;1;4
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageListFragment$ActionModeCallback;10;1;1;6;11;45;1;7
com.fsck.k9.remotecontrol;com.fsck.k9.remotecontrol.K9AccountReceptor;1;1;1;0;1;0;0;1
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageListFragment$MessageListFragmentListener;18;1;1;3;19;153;1;17
com.fsck.k9.view;com.fsck.k9.view.FoldableLinearLayout$SavedState;8;3;1;5;14;16;1;1
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$AccountsQueryHandler;4;1;1;8;16;4;1;3
com.fsck.k9.activity;com.fsck.k9.activity.MessageCompose$Action;1;2;1;0;2;0;0;0
com.fsck.k9.activity;com.fsck.k9.activity.FolderList$FolderListHandler;8;2;1;2;9;28;1;7
com.fsck.k9;com.fsck.k9.K9$2;7;2;1;12;32;9;1;4
com.fsck.k9.mail.store;com.fsck.k9.mail.store.WebDavStore$WebDavStoreSettings;3;2;1;3;6;0;1;2
com.fsck.k9;com.fsck.k9.Throttle;14;1;1;4;25;57;1;4
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$ThrottlingQueryHandler;3;1;1;8;16;0;1;3
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$1$1;2;2;1;8;5;0;1;1
com.fsck.k9.search;com.fsck.k9.search.SearchSpecification$Attribute;4;2;1;0;7;4;0;2
com.fsck.k9.mail;com.fsck.k9.mail.FetchProfile$Item;4;2;1;0;7;4;0;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$StoreImapSettings;15;1;1;5;31;0;1;15
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageListFragment$FlaggedComparator;2;1;1;1;3;1;1;2
com.fsck.k9.preferences;com.fsck.k9.preferences.AccountSettings$RingtoneSetting;2;2;1;1;3;1;1;2
com.fsck.k9.preferences;com.fsck.k9.preferences.SettingsImporter$ImportedAccount;2;1;1;2;3;1;1;0
com.fsck.k9.mail.store;com.fsck.k9.mail.store.WebDavStore$ParsedMessageEnvelope;9;1;1;1;19;12;1;8
com.fsck.k9.activity;com.fsck.k9.activity.UnreadWidgetConfiguration;7;8;1;9;30;15;1;4
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.TextBody;11;1;1;3;20;29;1;10
com.fsck.k9.mail;com.fsck.k9.mail.Folder;46;1;1;12;52;1015;1;45
com.fsck.k9.activity;com.fsck.k9.activity.ChooseIdentity;5;7;1;12;36;6;1;3
com.fsck.k9.controller;com.fsck.k9.controller.MessagingControllerPushReceiver;10;1;1;14;37;0;1;10
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalAttachmentMessageBody;4;3;1;7;8;6;1;4
com.fsck.k9.preferences;com.fsck.k9.preferences.TimePickerPreference;10;3;1;7;32;31;1;5
com.fsck.k9.service;com.fsck.k9.service.CoreService$1;2;1;1;7;19;0;1;1
com.fsck.k9.service;com.fsck.k9.service.RemoteControlService;3;5;1;10;21;3;1;3
com.fsck.k9.service;com.fsck.k9.service.SleepService;6;5;1;8;43;5;1;3
com.fsck.k9.fragment;com.fsck.k9.fragment.ConfirmationDialogFragment;9;3;1;14;42;34;1;7
com.fsck.k9.mail;com.fsck.k9.mail.CertificateValidationException;5;4;1;3;10;0;1;4
com.fsck.k9;com.fsck.k9.K9$ApplicationAware;1;1;1;1;1;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$SetPasswordsAsyncTask;4;3;1;4;5;6;1;0
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$AccountNumberExtractor;3;1;1;5;8;3;1;3
com.fsck.k9.service;com.fsck.k9.service.PushService;7;5;1;7;22;11;1;6
com.fsck.k9.search;com.fsck.k9.search.LocalSearch;29;1;1;9;62;182;1;27
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$ImportSelectionDialog;5;1;1;7;6;10;1;4
com.fsck.k9.controller;com.fsck.k9.controller.MessagingController;153;1;1;26;154;11628;1;75
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$DeleteUriExtractor;3;1;1;7;14;3;1;3
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$MessagesQueryHandler;5;1;1;32;49;8;1;2
com.fsck.k9.mail;com.fsck.k9.mail.FetchProfile;1;4;1;0;2;0;0;1
com.fsck.k9.provider;com.fsck.k9.provider.EmailProvider$SpecialColumns;0;1;1;0;0;0;0;0
com.fsck.k9.preferences;com.fsck.k9.preferences.SettingsImporter$ImportResults;2;1;1;0;3;1;0;0
com.fsck.k9.net.ssl;com.fsck.k9.net.ssl.TrustManagerFactory;5;1;1;3;12;6;1;1
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.Prefs;18;8;1;36;188;127;1;3
com.fsck.k9.service;com.fsck.k9.service.PollService;7;5;1;12;30;9;1;6
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.MimeUtility$Alternative;3;2;1;1;4;0;1;3
com.fsck.k9.helper;com.fsck.k9.helper.SizeFormatter;2;1;1;1;9;1;1;2
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.SliderPreference$1;4;1;1;3;7;4;1;3
com.fsck.k9.mail.store;com.fsck.k9.mail.store.UnavailableAccountException;4;4;1;0;7;6;0;4
com.fsck.k9.search;com.fsck.k9.search.ConditionsTreeNode$Operator;4;2;1;0;7;4;0;2
com.fsck.k9.view;com.fsck.k9.view.ClientCertificateSpinner;9;4;1;18;29;18;1;5
com.fsck.k9.provider;com.fsck.k9.provider.EmailProvider;20;2;1;23;63;168;1;7
com.fsck.k9.activity;com.fsck.k9.activity.K9PreferenceActivity$PreferenceChangeListener;3;1;1;3;9;1;1;1
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.AccountSetupNames;7;6;1;19;38;15;1;4
com.fsck.k9.preferences;com.fsck.k9.preferences.Settings$WebFontSizeSetting;3;3;1;2;11;0;1;2
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageListFragment$MessageListAdapter;4;3;1;7;5;6;1;2
com.fsck.k9.activity.misc;com.fsck.k9.activity.misc.ExtendedAsyncTask;6;2;1;5;9;7;1;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder;101;2;1;57;206;3220;1;68
com.fsck.k9.activity;com.fsck.k9.activity.MessageList$DisplayMode;1;2;1;0;2;0;0;0
com.fsck.k9.controller;com.fsck.k9.controller.MessageRemovalListener;1;1;1;1;1;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.AccountList;8;7;1;16;30;26;1;5
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$TempFileBody;2;2;1;3;7;0;1;2
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.AccountSetupCheckSettings$CheckDirection;4;2;1;0;7;4;0;2
com.fsck.k9.crypto;com.fsck.k9.crypto.CryptoProvider;18;1;1;9;22;153;1;18
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$SendDateExtractor;3;1;1;3;7;3;1;3
com.fsck.k9;com.fsck.k9.BuildConfig;1;1;1;0;2;0;0;1
com.fsck.k9.mail.filter;com.fsck.k9.mail.filter.SmtpDataStuffing;2;3;1;0;4;0;0;2
com.fsck.k9.activity;com.fsck.k9.activity.MessageList;79;6;1;31;80;3081;1;52
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.WelcomeMessage;4;6;1;14;20;6;1;4
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$MessageColumns;0;1;1;1;0;0;1;0
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$CountExtractor;3;1;1;1;4;1;1;3
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.FontSizeSettings$1;2;1;1;5;14;0;1;1
com.fsck.k9.mail.filter;com.fsck.k9.mail.filter.Base64;27;1;1;2;42;259;1;15
com.fsck.k9.net.ssl;com.fsck.k9.net.ssl.SslSessionCacheHelper;3;1;1;4;15;1;1;2
com.fsck.k9.preferences;com.fsck.k9.preferences.GlobalSettings$SettingsUpgraderV24;2;1;1;2;5;1;1;2
com.fsck.k9;com.fsck.k9.PRNGFixes$LinuxPRNGSecureRandomProvider;1;5;1;0;4;0;0;1
com.fsck.k9.activity;com.fsck.k9.activity.MessageInfoHolder;3;1;1;2;6;3;1;3
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder$1;3;1;1;10;23;1;1;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapBodyPart;2;3;1;2;3;1;1;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder$2;3;1;1;7;9;1;1;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder$3;3;1;1;8;12;1;1;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder$4;3;1;1;6;10;1;1;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder$5;3;1;1;6;10;1;1;2
com.fsck.k9.net.ssl;com.fsck.k9.net.ssl.TrustedSocketFactory;6;1;1;8;28;13;1;3
com.fsck.k9.preferences;com.fsck.k9.preferences.Editor$1;2;1;1;2;22;0;1;1
com.fsck.k9.activity.loader;com.fsck.k9.activity.loader.AttachmentContentLoader;4;3;1;9;23;0;1;3
com.fsck.k9.activity;com.fsck.k9.activity.ManageIdentities;11;8;1;18;46;43;1;7
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder$6;3;1;1;6;11;1;1;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder$7;3;1;1;29;48;1;1;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.StorageManager$StorageListener;2;1;1;0;2;1;0;2
com.fsck.k9.fragment;com.fsck.k9.fragment.ConfirmationDialogFragment$ConfirmationDialogFragmentListener;3;1;1;0;3;3;0;3
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder$8;3;1;1;9;28;1;1;2
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$ACCOUNT_LOCATION;1;2;1;0;2;0;0;0
com.fsck.k9.mail.store;com.fsck.k9.mail.store.StorageManager$SamsungGalaxySStorageProvider;5;2;1;4;9;10;1;3
com.fsck.k9.service;com.fsck.k9.service.ShutdownReceiver;2;2;1;5;7;1;1;2
com.fsck.k9.mail;com.fsck.k9.mail.MessagingException;6;3;1;0;8;0;0;6
com.fsck.k9;com.fsck.k9.EmailAddressAdapter;5;4;1;7;14;0;1;5
com.fsck.k9.security;com.fsck.k9.security.LocalKeyStore;12;1;1;3;43;44;1;6
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalFolder$9;3;1;1;8;11;1;1;2
com.fsck.k9.activity;com.fsck.k9.activity.Search;6;7;1;1;9;9;1;5
com.fsck.k9.preferences;com.fsck.k9.preferences.GlobalSettings$SettingsUpgraderV12;2;1;1;2;8;1;1;2
com.fsck.k9.preferences;com.fsck.k9.preferences.Settings$BooleanSetting;2;2;1;2;7;1;1;2
com.fsck.k9;com.fsck.k9.BaseAccount;5;1;1;0;5;10;0;5
com.fsck.k9.mail.store;com.fsck.k9.mail.store.Pop3Store$Pop3Capabilities;2;1;1;0;5;1;0;1
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapSearcher;1;1;1;1;1;0;1;1
com.fsck.k9.provider;com.fsck.k9.provider.EmailProvider$MessageColumns;0;1;1;0;0;0;0;0
com.fsck.k9.helper;com.fsck.k9.helper.FileBrowserHelper$FileBrowserFailOverCallback;2;1;1;0;2;1;0;2
com.fsck.k9;com.fsck.k9.R$drawable;1;1;1;0;2;0;0;1
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$AccountsAdapter$AccountViewHolder;1;1;1;6;2;0;1;0
com.fsck.k9.activity;com.fsck.k9.activity.ChooseFolder;9;7;1;28;44;18;1;4
com.fsck.k9.view;com.fsck.k9.view.RigidWebView$1;2;1;1;1;4;0;1;1
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$PendingCommand;4;1;1;0;8;4;0;2
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.MimeMessage$MimeMessageBuilder;15;1;1;12;47;0;1;14
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.AccountSetupBasics$1;2;1;1;3;4;0;1;1
com.fsck.k9.view;com.fsck.k9.view.MessageCryptoView$1;2;1;1;11;8;0;1;1
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.AccountSetupBasics$2;2;1;1;3;4;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.FolderList;29;7;1;20;30;406;1;14
com.fsck.k9.helper;com.fsck.k9.helper.HtmlConverter$ListTagHandler;2;1;1;2;7;1;1;2
com.fsck.k9.activity;com.fsck.k9.activity.EditIdentity;8;6;1;15;53;10;1;4
com.fsck.k9.preferences;com.fsck.k9.preferences.SettingsImporter$ImportedSettings;2;1;1;0;4;1;0;0
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapConnection;23;1;1;24;139;157;1;11
com.fsck.k9.provider;com.fsck.k9.provider.EmailProvider$ThreadColumns;0;1;1;0;0;0;0;0
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.EncoderUtil$Encoding;4;2;1;0;7;4;0;2
